Flagstaff, 1686122515, 76, 43
Flagstaff, 1686208915, 72, 42
Flagstaff, 1686295315, 77, 45
Flagstaff, 1686381715, 74, 45
Flagstaff, 1686468115, 78, 43
Flagstaff, 1686554515, 79, 46
Flagstaff, 1686640915, 75, 43
Flagstaff, 1686727315, 76, 44
Flagstaff, 1686813715, 79, 47
Flagstaff, 1686900115, 78, 48
Phoenix, 1686122515, 97, 65
Phoenix, 1686208915, 96, 64
Phoenix, 1686295315, 95, 63
Phoenix, 1686381715, 96, 63
Phoenix, 1686468115, 93, 62
Phoenix, 1686554515, 98, 66
Phoenix, 1686640915, 99, 68
Phoenix, 1686727315, 97, 67
Phoenix, 1686813715, 98, 66
Phoenix, 1686900115, 99, 67
Austin, 1686122515, 86, 60
Austin, 1686208915, 87, 62
Austin, 1686295315, 85, 63
Austin, 1686381715, 84, 62
Austin, 1686468115, 87, 64
Austin, 1686554515, 84, 65
Austin, 1686640915, 86, 66
Austin, 1686727315, 85, 65
Austin, 1686813715, 88, 67
Austin, 1686900115, 89, 68
