Flagstaff, 1686122515, 58
Flagstaff, 1686208915, 59
Flagstaff, 1686295315, 53
Flagstaff, 1686381715, 55
Flagstaff, 1686468115, 53
Flagstaff, 1686554515, 55
Flagstaff, 1686640915, 56
Flagstaff, 1686727315, 57
Flagstaff, 1686813715, 52
Flagstaff, 1686900115, 54
Phoenix, 1686122515, 43
Phoenix, 1686208915, 45
Phoenix, 1686295315, 47
Phoenix, 1686381715, 46
Phoenix, 1686468115, 45
Phoenix, 1686554515, 42
Phoenix, 1686640915, 45
Phoenix, 1686727315, 43
Phoenix, 1686813715, 47
Phoenix, 1686900115, 46
Austin, 1686122515, 69
Austin, 1686208915, 66
Austin, 1686295315, 64
Austin, 1686381715, 68
Austin, 1686468115, 66
Austin, 1686554515, 63
Austin, 1686640915, 68
Austin, 1686727315, 67
Austin, 1686813715, 65
Austin, 1686900115, 63
Miami, 1686122515, 72
Miami, 1686208915, 73
Miami, 1686295315, 75
Miami, 1686381715, 78
Miami, 1686468115, 76
Miami, 1686554515, 75
Miami, 1686640915, 77
Miami, 1686727315, 75
Miami, 1686813715, 77
Miami, 1686900115, 78
